0 78 78 0
1 106 106 0
2 148 148 0
3 202 202 0
4 281 281 0
5 390 391 1
6 545 546 1
7 736 737 1
8 1025 1026 1
9 1438 1441 3
10 1947 1951 4
11 2680 2684 4
12 3686 3692 6
13 4976 4984 8
14 6760 6770 10
15 8935 8947 12
16 11821 11835 14
17 15380 15399 19
18 19663 19693 30
19 24622 24741 41
20 30148 30309 55
21 35888 36103 67
22 41578 41871 92
23 46839 47237 118
24 51360 51882 132
25 54987 55695 164
26 57631 58564 198
27 59412 60663 230
28 60493 62186 261
29 61014 63246 296
30 60973 63964 327
31 60424 64443 353
32 59418 64761 394
33 57846 64995 432
34 55808 65151 472
35 53047 65271 496
36 49571 65346 525
37 45347 65391 553
38 40378 65435 572
39 34887 65462 591
40 29134 65474 613
41 23407 65486 631
42 18104 65492 638
43 13495 65496 649
44 9721 65498 654
45 6875 65498 659
46 4789 65499 664
47 3277 65500 664
48 2222 65500 666
49 1515 65500 666
50 1041 65500 667
51 729 65500 667
52 501 65501 667
53 345 65501 668
54 228 65501 668
55 154 65501 668
56 110 65501 668
57 66 65501 668
58 39 65501 668
59 27 65501 668
60 15 65501 668
61 9 65501 668
62 5 65501 668
63 3 65501 668
64 3 65501 668
65 2 65501 668
66 1 65501 668
67 1 65501 668
68 1 65501 668
69 1 65501 668
70 1 65501 668
71 0 65501 668
