3.5 0
3.5 255

0 3.5
255 3.5

7.5 0
7.5 255

0 7.5
255 7.5

11.5 0
11.5 255

0 11.5
255 11.5

15.5 0
15.5 255

0 15.5
255 15.5

19.5 0
19.5 255

0 19.5
255 19.5

23.5 0
23.5 255

0 23.5
255 23.5

27.5 0
27.5 255

0 27.5
255 27.5

31.5 0
31.5 255

0 31.5
255 31.5

35.5 0
35.5 255

0 35.5
255 35.5

39.5 0
39.5 255

0 39.5
255 39.5

43.5 0
43.5 255

0 43.5
255 43.5

47.5 0
47.5 255

0 47.5
255 47.5

51.5 0
51.5 255

0 51.5
255 51.5

55.5 0
55.5 255

0 55.5
255 55.5

59.5 0
59.5 255

0 59.5
255 59.5

63.5 0
63.5 255

0 63.5
255 63.5

67.5 0
67.5 255

0 67.5
255 67.5

71.5 0
71.5 255

0 71.5
255 71.5

75.5 0
75.5 255

0 75.5
255 75.5

79.5 0
79.5 255

0 79.5
255 79.5

83.5 0
83.5 255

0 83.5
255 83.5

87.5 0
87.5 255

0 87.5
255 87.5

91.5 0
91.5 255

0 91.5
255 91.5

95.5 0
95.5 255

0 95.5
255 95.5

99.5 0
99.5 255

0 99.5
255 99.5

103.5 0
103.5 255

0 103.5
255 103.5

107.5 0
107.5 255

0 107.5
255 107.5

111.5 0
111.5 255

0 111.5
255 111.5

115.5 0
115.5 255

0 115.5
255 115.5

119.5 0
119.5 255

0 119.5
255 119.5

123.5 0
123.5 255

0 123.5
255 123.5

127.5 0
127.5 255

0 127.5
255 127.5

131.5 0
131.5 255

0 131.5
255 131.5

135.5 0
135.5 255

0 135.5
255 135.5

139.5 0
139.5 255

0 139.5
255 139.5

143.5 0
143.5 255

0 143.5
255 143.5

147.5 0
147.5 255

0 147.5
255 147.5

151.5 0
151.5 255

0 151.5
255 151.5

155.5 0
155.5 255

0 155.5
255 155.5

159.5 0
159.5 255

0 159.5
255 159.5

163.5 0
163.5 255

0 163.5
255 163.5

167.5 0
167.5 255

0 167.5
255 167.5

171.5 0
171.5 255

0 171.5
255 171.5

175.5 0
175.5 255

0 175.5
255 175.5

179.5 0
179.5 255

0 179.5
255 179.5

183.5 0
183.5 255

0 183.5
255 183.5

187.5 0
187.5 255

0 187.5
255 187.5

191.5 0
191.5 255

0 191.5
255 191.5

195.5 0
195.5 255

0 195.5
255 195.5

199.5 0
199.5 255

0 199.5
255 199.5

203.5 0
203.5 255

0 203.5
255 203.5

207.5 0
207.5 255

0 207.5
255 207.5

211.5 0
211.5 255

0 211.5
255 211.5

215.5 0
215.5 255

0 215.5
255 215.5

219.5 0
219.5 255

0 219.5
255 219.5

223.5 0
223.5 255

0 223.5
255 223.5

227.5 0
227.5 255

0 227.5
255 227.5

231.5 0
231.5 255

0 231.5
255 231.5

235.5 0
235.5 255

0 235.5
255 235.5

239.5 0
239.5 255

0 239.5
255 239.5

243.5 0
243.5 255

0 243.5
255 243.5

247.5 0
247.5 255

0 247.5
255 247.5

251.5 0
251.5 255

0 251.5
255 251.5

