0 60 60 0
1 85 85 0
2 120 120 0
3 167 167 0
4 223 223 0
5 289 289 0
6 386 386 0
7 497 497 0
8 660 660 0
9 887 888 1
10 1178 1180 2
11 1533 1536 3
12 2019 2022 3
13 2650 2655 5
14 3493 3498 5
15 4514 4524 10
16 5845 5856 11
17 7463 7478 15
18 9568 9590 22
19 12152 12236 24
20 15337 15456 34
21 19098 19264 46
22 23567 23792 58
23 28358 28651 70
24 33370 33744 86
25 38494 38977 99
26 43393 44003 118
27 47760 48560 148
28 51509 52558 173
29 54504 55864 196
30 56682 58421 224
31 58167 60418 257
32 58995 61903 284
33 59133 62900 310
34 58847 63671 356
35 58045 64220 388
36 56808 64620 415
37 54940 64870 438
38 52485 65059 461
39 49393 65178 481
40 45684 65271 507
41 41232 65336 538
42 36436 65382 561
43 31415 65410 576
44 26240 65436 585
45 21266 65452 608
46 16754 65460 618
47 12793 65467 624
48 9526 65474 628
49 6998 65478 631
50 5018 65480 636
51 3544 65481 637
52 2560 65482 642
53 1792 65482 643
54 1251 65482 643
55 854 65482 644
56 608 65482 644
57 420 65482 644
58 304 65483 644
59 211 65483 644
60 147 65483 644
61 101 65483 644
62 73 65483 644
63 47 65483 644
64 31 65483 644
65 23 65483 644
66 16 65483 644
67 9 65483 644
68 5 65483 644
69 3 65483 644
70 2 65483 644
71 1 65483 644
72 1 65483 644
73 1 65483 644
74 1 65483 644
75 1 65483 644
76 1 65483 644
77 0 65483 644
