0 78 78 0
1 107 107 0
2 143 143 0
3 214 214 0
4 306 307 1
5 422 423 1
6 585 587 2
7 833 835 2
8 1167 1170 3
9 1581 1584 3
10 2214 2218 4
11 3090 3097 7
12 4278 4285 7
13 5913 5922 9
14 8025 8042 17
15 10738 10759 21
16 14285 14312 27
17 18600 18635 35
18 23732 23772 40
19 29472 29597 47
20 35601 35765 57
21 41500 41713 70
22 46949 47251 91
23 51541 51960 116
24 55111 55682 153
25 57829 58593 183
26 59799 60823 199
27 60967 62346 222
28 61530 63357 259
29 61558 64046 295
30 61145 64522 314
31 60231 64819 343
32 58830 65056 368
33 56841 65210 402
34 54228 65311 426
35 50752 65379 451
36 46490 65432 479
37 41411 65458 501
38 35627 65476 523
39 29519 65492 540
40 23612 65505 552
41 18126 65511 559
42 13447 65515 570
43 9756 65516 579
44 6872 65518 582
45 4666 65518 587
46 3153 65518 590
47 2150 65518 591
48 1464 65518 592
49 993 65518 592
50 698 65519 592
51 461 65519 592
52 307 65519 592
53 206 65519 592
54 139 65519 592
55 86 65519 592
56 60 65519 592
57 43 65519 592
58 27 65519 592
59 14 65519 592
60 8 65519 592
61 4 65519 592
62 3 65519 592
63 1 65519 592
64 1 65519 592
65 1 65519 592
66 1 65519 592
67 1 65519 592
68 1 65519 592
69 0 65519 592
