7.5 0
7.5 255

0 7.5
255 7.5

15.5 0
15.5 255

0 15.5
255 15.5

23.5 0
23.5 255

0 23.5
255 23.5

31.5 0
31.5 255

0 31.5
255 31.5

39.5 0
39.5 255

0 39.5
255 39.5

47.5 0
47.5 255

0 47.5
255 47.5

55.5 0
55.5 255

0 55.5
255 55.5

63.5 0
63.5 255

0 63.5
255 63.5

71.5 0
71.5 255

0 71.5
255 71.5

79.5 0
79.5 255

0 79.5
255 79.5

87.5 0
87.5 255

0 87.5
255 87.5

95.5 0
95.5 255

0 95.5
255 95.5

103.5 0
103.5 255

0 103.5
255 103.5

111.5 0
111.5 255

0 111.5
255 111.5

119.5 0
119.5 255

0 119.5
255 119.5

127.5 0
127.5 255

0 127.5
255 127.5

135.5 0
135.5 255

0 135.5
255 135.5

143.5 0
143.5 255

0 143.5
255 143.5

151.5 0
151.5 255

0 151.5
255 151.5

159.5 0
159.5 255

0 159.5
255 159.5

167.5 0
167.5 255

0 167.5
255 167.5

175.5 0
175.5 255

0 175.5
255 175.5

183.5 0
183.5 255

0 183.5
255 183.5

191.5 0
191.5 255

0 191.5
255 191.5

199.5 0
199.5 255

0 199.5
255 199.5

207.5 0
207.5 255

0 207.5
255 207.5

215.5 0
215.5 255

0 215.5
255 215.5

223.5 0
223.5 255

0 223.5
255 223.5

231.5 0
231.5 255

0 231.5
255 231.5

239.5 0
239.5 255

0 239.5
255 239.5

247.5 0
247.5 255

0 247.5
255 247.5

