0 59 59 0
1 80 80 0
2 110 110 0
3 154 154 0
4 210 210 0
5 283 283 0
6 398 398 0
7 531 531 0
8 685 686 1
9 893 894 1
10 1131 1133 2
11 1373 1376 3
12 1637 1640 3
13 1879 1883 4
14 2151 2155 4
15 2405 2411 6
16 2598 2605 7
17 2781 2790 9
18 2955 2966 11
19 3009 3080 14
20 3089 3183 16
21 3131 3256 17
22 3151 3323 20
23 3134 3362 20
24 3087 3389 22
25 2996 3409 22
26 2876 3423 23
27 2727 3432 28
28 2526 3438 29
29 2290 3442 31
30 2052 3445 32
31 1793 3447 33
32 1554 3448 33
33 1286 3451 33
34 1032 3451 33
35 842 3452 33
36 658 3452 34
37 483 3453 34
38 369 3453 34
39 265 3453 35
40 193 3453 36
41 127 3454 36
42 89 3454 36
43 63 3454 36
44 43 3454 36
45 29 3454 36
46 21 3454 36
47 16 3454 36
48 12 3454 36
49 9 3454 36
50 7 3454 36
51 6 3454 36
52 3 3454 36
53 3 3454 36
54 2 3454 36
55 2 3454 36
56 1 3454 36
57 1 3454 36
58 1 3454 36
59 1 3454 36
60 0 3454 36
