0 76 76 0
1 106 106 0
2 153 153 0
3 204 204 0
4 277 277 0
5 381 381 0
6 546 548 2
7 782 784 2
8 1083 1085 2
9 1491 1493 2
10 2092 2094 2
11 2885 2889 4
12 3962 3968 6
13 5427 5435 8
14 7471 7483 12
15 10084 10099 15
16 13330 13351 21
17 17459 17490 31
18 22267 22311 44
19 27676 27811 59
20 33456 33640 79
21 39324 39570 96
22 44832 45141 108
23 49589 49996 133
24 53557 54093 159
25 56620 57346 184
26 58831 59816 208
27 60277 61594 239
28 61050 62806 273
29 61299 63680 304
30 61042 64244 340
31 60363 64671 376
32 59173 64951 399
33 57318 65149 429
34 54809 65260 454
35 51649 65351 487
36 47581 65410 507
37 42822 65442 534
38 37388 65467 553
39 31616 65481 573
40 25722 65494 587
41 20212 65501 596
42 15383 65504 605
43 11326 65508 609
44 8095 65510 618
45 5648 65510 624
46 3885 65510 628
47 2681 65510 629
48 1814 65510 630
49 1253 65510 634
50 833 65510 635
51 557 65511 635
52 361 65511 635
53 250 65511 635
54 160 65511 635
55 101 65511 635
56 69 65511 635
57 44 65511 635
58 30 65511 635
59 17 65511 635
60 10 65511 635
61 7 65511 635
62 3 65511 635
63 1 65511 635
64 1 65511 635
65 1 65511 635
66 1 65511 635
67 1 65511 635
68 1 65511 635
69 1 65511 635
70 0 65511 635
