0 57 57 0
1 81 81 0
2 101 101 0
3 141 141 0
4 184 184 0
5 247 247 0
6 347 347 0
7 486 487 1
8 683 685 2
9 947 949 2
10 1320 1322 2
11 1846 1848 2
12 2542 2548 6
13 3526 3534 8
14 4838 4851 13
15 6545 6559 14
16 8801 8822 21
17 11748 11775 27
18 15481 15514 33
19 19906 20000 37
20 25100 25224 43
21 30757 30913 56
22 36724 36933 69
23 42524 42796 89
24 47630 47982 107
25 51993 52469 135
26 55498 56142 164
27 58023 58885 186
28 59756 60905 210
29 60829 62365 232
30 61319 63402 257
31 61283 64092 286
32 60744 64562 320
33 59707 64858 351
34 58205 65076 381
35 56079 65222 410
36 53209 65312 442
37 49546 65381 468
38 45123 65432 499
39 39945 65455 520
40 34309 65476 545
41 28328 65484 561
42 22518 65495 575
43 17366 65498 589
44 12932 65502 596
45 9285 65503 604
46 6560 65505 609
47 4557 65507 614
48 3107 65508 620
49 2078 65508 623
50 1390 65508 623
51 935 65509 623
52 643 65509 623
53 425 65509 624
54 282 65509 624
55 195 65509 624
56 126 65509 624
57 75 65509 625
58 53 65509 625
59 33 65509 625
60 25 65509 625
61 14 65509 625
62 11 65509 625
63 7 65509 625
64 6 65509 625
65 4 65509 625
66 2 65509 625
67 1 65509 625
68 1 65509 625
69 1 65509 625
70 0 65509 625
