0 68 68 0
1 95 95 0
2 131 132 1
3 180 181 1
4 251 252 1
5 335 337 2
6 465 467 2
7 629 631 2
8 876 878 2
9 1197 1199 2
10 1661 1663 2
11 2270 2272 2
12 3107 3109 2
13 4222 4225 3
14 5662 5666 4
15 7608 7615 7
16 9968 9980 12
17 12648 12664 16
18 15898 15924 26
19 19350 19451 34
20 23004 23145 47
21 26588 26776 58
22 30129 30377 69
23 33240 33575 86
24 36020 36455 104
25 38419 39004 124
26 40621 41392 146
27 42477 43516 169
28 44196 45577 193
29 45746 47608 213
30 47130 49611 232
31 48145 51476 252
32 48912 53369 274
33 49257 55171 304
34 48969 56833 324
35 48112 58335 345
36 46770 59674 366
37 44724 60885 391
38 42120 61806 417
39 39310 62677 436
40 36365 63337 450
41 33312 63871 471
42 30567 64309 486
43 28042 64661 508
44 25765 64922 525
45 23569 65103 535
46 21565 65218 550
47 19602 65309 566
48 17624 65365 578
49 15678 65412 583
50 13850 65437 590
51 11986 65449 596
52 10207 65466 601
53 8570 65476 603
54 7086 65484 606
55 5761 65485 607
56 4560 65485 610
57 3650 65486 611
58 2786 65488 611
59 2135 65489 611
60 1610 65490 611
61 1176 65491 612
62 824 65491 613
63 564 65491 613
64 384 65491 614
65 271 65491 614
66 181 65491 614
67 125 65491 614
68 79 65491 614
69 54 65491 614
70 42 65491 614
71 25 65491 614
72 15 65491 614
73 7 65491 614
74 6 65491 614
75 6 65491 614
76 5 65491 614
77 3 65491 614
78 2 65491 614
79 1 65491 614
80 0 65491 614
